regiao,product_category_name,total_pedidos_regiao
Centro-Oeste,agro_industria_e_comercio,10
Centro-Oeste,alimentos,24
Centro-Oeste,alimentos_bebidas,5
Centro-Oeste,artes,11
Centro-Oeste,artes_e_artesanato,1
Centro-Oeste,artigos_de_festas,3
Centro-Oeste,artigos_de_natal,14
Centro-Oeste,audio,28
Centro-Oeste,automotivo,272
Centro-Oeste,bebes,194
Centro-Oeste,bebidas,17
Centro-Oeste,beleza_saude,636
Centro-Oeste,brinquedos,269
Centro-Oeste,cama_mesa_banho,609
Centro-Oeste,casa_conforto,21
Centro-Oeste,casa_conforto_2,5
Centro-Oeste,casa_construcao,36
Centro-Oeste,cine_foto,3
Centro-Oeste,climatizacao,15
Centro-Oeste,consoles_games,64
Centro-Oeste,construcao_ferramentas_construcao,45
Centro-Oeste,construcao_ferramentas_ferramentas,9
Centro-Oeste,construcao_ferramentas_iluminacao,21
Centro-Oeste,construcao_ferramentas_jardim,14
Centro-Oeste,construcao_ferramentas_seguranca,16
Centro-Oeste,cool_stuff,249
Centro-Oeste,dvds_blu_ray,12
Centro-Oeste,eletrodomesticos,46
Centro-Oeste,eletrodomesticos_2,14
Centro-Oeste,eletronicos,134
Centro-Oeste,eletroportateis,49
Centro-Oeste,esporte_lazer,544
Centro-Oeste,fashion_bolsas_e_acessorios,122
Centro-Oeste,fashion_calcados,22
Centro-Oeste,fashion_esporte,2
Centro-Oeste,fashion_roupa_feminina,4
Centro-Oeste,fashion_roupa_masculina,4
Centro-Oeste,fashion_underwear_e_moda_praia,11
Centro-Oeste,ferramentas_jardim,250
Centro-Oeste,flores,2
Centro-Oeste,industria_comercio_e_negocios,15
Centro-Oeste,informatica_acessorios,423
Centro-Oeste,instrumentos_musicais,32
Centro-Oeste,livros_interesse_geral,35
Centro-Oeste,livros_tecnicos,18
Centro-Oeste,malas_acessorios,53
Centro-Oeste,market_place,22
Centro-Oeste,moveis_colchao_e_estofado,3
Centro-Oeste,moveis_cozinha_area_de_servico_jantar_e_jardim,12
Centro-Oeste,moveis_decoracao,412
Centro-Oeste,moveis_escritorio,64
Centro-Oeste,moveis_quarto,5
Centro-Oeste,moveis_sala,24
Centro-Oeste,musica,2
Centro-Oeste,papelaria,148
Centro-Oeste,pcs,17
Centro-Oeste,perfumaria,254
Centro-Oeste,pet_shop,108
Centro-Oeste,portateis_casa_forno_e_cafe,3
Centro-Oeste,relogios_presentes,406
Centro-Oeste,seguros_e_servicos,1
Centro-Oeste,sinalizacao_e_seguranca,17
Centro-Oeste,tablets_impressao_imagem,6
Centro-Oeste,telefonia,318
Centro-Oeste,telefonia_fixa,10
Centro-Oeste,utilidades_domesticas,384
Nordeste,agro_industria_e_comercio,21
Nordeste,alimentos,41
Nordeste,alimentos_bebidas,28
Nordeste,artes,15
Nordeste,artigos_de_festas,1
Nordeste,artigos_de_natal,18
Nordeste,audio,38
Nordeste,automotivo,460
Nordeste,bebes,263
Nordeste,bebidas,11
Nordeste,beleza_saude,1180
Nordeste,brinquedos,375
Nordeste,cama_mesa_banho,614
Nordeste,casa_conforto,33
Nordeste,casa_conforto_2,1
Nordeste,casa_construcao,52
Nordeste,cds_dvds_musicais,1
Nordeste,cine_foto,5
Nordeste,climatizacao,15
Nordeste,consoles_games,112
Nordeste,construcao_ferramentas_construcao,71
Nordeste,construcao_ferramentas_ferramentas,8
Nordeste,construcao_ferramentas_iluminacao,12
Nordeste,construcao_ferramentas_jardim,31
Nordeste,construcao_ferramentas_seguranca,24
Nordeste,cool_stuff,418
Nordeste,dvds_blu_ray,5
Nordeste,eletrodomesticos,64
Nordeste,eletrodomesticos_2,16
Nordeste,eletronicos,282
Nordeste,eletroportateis,44
Nordeste,esporte_lazer,753
Nordeste,fashion_bolsas_e_acessorios,232
Nordeste,fashion_calcados,29
Nordeste,fashion_esporte,3
Nordeste,fashion_roupa_feminina,3
Nordeste,fashion_roupa_infanto_juvenil,1
Nordeste,fashion_roupa_masculina,14
Nordeste,fashion_underwear_e_moda_praia,9
Nordeste,ferramentas_jardim,436
Nordeste,fraldas_higiene,2
Nordeste,industria_comercio_e_negocios,21
Nordeste,informatica_acessorios,735
Nordeste,instrumentos_musicais,82
Nordeste,livros_importados,3
Nordeste,livros_interesse_geral,67
Nordeste,livros_tecnicos,24
Nordeste,malas_acessorios,109
Nordeste,market_place,36
Nordeste,moveis_colchao_e_estofado,1
Nordeste,moveis_cozinha_area_de_servico_jantar_e_jardim,14
Nordeste,moveis_decoracao,638
Nordeste,moveis_escritorio,198
Nordeste,moveis_quarto,9
Nordeste,moveis_sala,40
Nordeste,musica,1
Nordeste,papelaria,239
Nordeste,pc_gamer,1
Nordeste,pcs,58
Nordeste,perfumaria,299
Nordeste,pet_shop,144
Nordeste,portateis_casa_forno_e_cafe,4
Nordeste,portateis_cozinha_e_preparadores_de_alimentos,1
Nordeste,relogios_presentes,812
Nordeste,sinalizacao_e_seguranca,17
Nordeste,tablets_impressao_imagem,14
Nordeste,telefonia,707
Nordeste,telefonia_fixa,34
Nordeste,utilidades_domesticas,398
Norte,agro_industria_e_comercio,7
Norte,alimentos,2
Norte,alimentos_bebidas,1
Norte,artes,6
Norte,artigos_de_natal,3
Norte,audio,3
Norte,automotivo,92
Norte,bebes,71
Norte,bebidas,2
Norte,beleza_saude,214
Norte,brinquedos,69
Norte,cama_mesa_banho,89
Norte,casa_conforto,2
Norte,casa_construcao,7
Norte,cine_foto,3
Norte,climatizacao,1
Norte,consoles_games,25
Norte,construcao_ferramentas_construcao,6
Norte,construcao_ferramentas_iluminacao,3
Norte,construcao_ferramentas_jardim,5
Norte,construcao_ferramentas_seguranca,1
Norte,cool_stuff,83
Norte,dvds_blu_ray,1
Norte,eletrodomesticos,17
Norte,eletrodomesticos_2,17
Norte,eletronicos,55
Norte,eletroportateis,11
Norte,esporte_lazer,165
Norte,fashion_bolsas_e_acessorios,56
Norte,fashion_calcados,8
Norte,fashion_esporte,4
Norte,fashion_roupa_masculina,2
Norte,fashion_underwear_e_moda_praia,3
Norte,ferramentas_jardim,65
Norte,industria_comercio_e_negocios,2
Norte,informatica_acessorios,176
Norte,instrumentos_musicais,16
Norte,livros_importados,2
Norte,livros_interesse_geral,11
Norte,livros_tecnicos,4
Norte,malas_acessorios,22
Norte,market_place,10
Norte,moveis_cozinha_area_de_servico_jantar_e_jardim,2
Norte,moveis_decoracao,125
Norte,moveis_escritorio,41
Norte,moveis_sala,5
Norte,musica,1
Norte,papelaria,47
Norte,pcs,10
Norte,perfumaria,65
Norte,pet_shop,30
Norte,portateis_casa_forno_e_cafe,2
Norte,portateis_cozinha_e_preparadores_de_alimentos,1
Norte,relogios_presentes,141
Norte,seguros_e_servicos,1
Norte,sinalizacao_e_seguranca,3
Norte,tablets_impressao_imagem,5
Norte,telefonia,143
Norte,telefonia_fixa,9
Norte,utilidades_domesticas,72
Sudeste,agro_industria_e_comercio,184
Sudeste,alimentos,378
Sudeste,alimentos_bebidas,220
Sudeste,artes,151
Sudeste,artes_e_artesanato,22
Sudeste,artigos_de_festas,33
Sudeste,artigos_de_natal,85
Sudeste,audio,258
Sudeste,automotivo,2829
Sudeste,bebes,2075
Sudeste,bebidas,295
Sudeste,beleza_saude,6544
Sudeste,brinquedos,2900
Sudeste,cama_mesa_banho,8882
Sudeste,casa_conforto,370
Sudeste,casa_conforto_2,20
Sudeste,casa_construcao,436
Sudeste,cds_dvds_musicais,8
Sudeste,cine_foto,43
Sudeste,climatizacao,227
Sudeste,consoles_games,786
Sudeste,construcao_ferramentas_construcao,687
Sudeste,construcao_ferramentas_ferramentas,64
Sudeste,construcao_ferramentas_iluminacao,215
Sudeste,construcao_ferramentas_jardim,174
Sudeste,construcao_ferramentas_seguranca,107
Sudeste,cool_stuff,2466
Sudeste,dvds_blu_ray,38
Sudeste,eletrodomesticos,560
Sudeste,eletrodomesticos_2,172
Sudeste,eletronicos,1846
Sudeste,eletroportateis,459
Sudeste,esporte_lazer,5936
Sudeste,fashion_bolsas_e_acessorios,1416
Sudeste,fashion_calcados,172
Sudeste,fashion_esporte,16
Sudeste,fashion_roupa_feminina,36
Sudeste,fashion_roupa_infanto_juvenil,5
Sudeste,fashion_roupa_masculina,94
Sudeste,fashion_underwear_e_moda_praia,99
Sudeste,ferramentas_jardim,2996
Sudeste,flores,26
Sudeste,fraldas_higiene,33
Sudeste,industria_comercio_e_negocios,176
Sudeste,informatica_acessorios,5363
Sudeste,instrumentos_musicais,459
Sudeste,la_cuisine,9
Sudeste,livros_importados,49
Sudeste,livros_interesse_geral,339
Sudeste,livros_tecnicos,185
Sudeste,malas_acessorios,808
Sudeste,market_place,203
Sudeste,moveis_colchao_e_estofado,34
Sudeste,moveis_cozinha_area_de_servico_jantar_e_jardim,225
Sudeste,moveis_decoracao,5920
Sudeste,moveis_escritorio,1227
Sudeste,moveis_quarto,94
Sudeste,moveis_sala,393
Sudeste,musica,28
Sudeste,papelaria,1738
Sudeste,pc_gamer,7
Sudeste,pcs,111
Sudeste,perfumaria,2441
Sudeste,pet_shop,1439
Sudeste,portateis_casa_forno_e_cafe,49
Sudeste,portateis_cozinha_e_preparadores_de_alimentos,11
Sudeste,relogios_presentes,3926
Sudeste,sinalizacao_e_seguranca,129
Sudeste,tablets_impressao_imagem,56
Sudeste,telefonia,2693
Sudeste,telefonia_fixa,174
Sudeste,utilidades_domesticas,5231
Sul,agro_industria_e_comercio,24
Sul,alimentos,58
Sul,alimentos_bebidas,27
Sul,artes,22
Sul,artes_e_artesanato,1
Sul,artigos_de_festas,8
Sul,artigos_de_natal,25
Sul,audio,48
Sul,automotivo,606
Sul,bebes,493
Sul,bebidas,46
Sul,beleza_saude,1175
Sul,brinquedos,548
Sul,cama_mesa_banho,1490
Sul,casa_conforto,45
Sul,casa_conforto_2,2
Sul,casa_construcao,92
Sul,cds_dvds_musicais,5
Sul,cine_foto,18
Sul,climatizacao,31
Sul,consoles_games,143
Sul,construcao_ferramentas_construcao,128
Sul,construcao_ferramentas_ferramentas,20
Sul,construcao_ferramentas_iluminacao,51
Sul,construcao_ferramentas_jardim,17
Sul,construcao_ferramentas_seguranca,37
Sul,cool_stuff,669
Sul,dvds_blu_ray,11
Sul,eletrodomesticos,119
Sul,eletrodomesticos_2,43
Sul,eletronicos,472
Sul,eletroportateis,115
Sul,esporte_lazer,1336
Sul,fashion_bolsas_e_acessorios,289
Sul,fashion_calcados,37
Sul,fashion_esporte,5
Sul,fashion_roupa_feminina,3
Sul,fashion_roupa_infanto_juvenil,1
Sul,fashion_roupa_masculina,23
Sul,fashion_underwear_e_moda_praia,17
Sul,ferramentas_jardim,704
Sul,flores,3
Sul,fraldas_higiene,2
Sul,industria_comercio_e_negocios,51
Sul,informatica_acessorios,1229
Sul,instrumentos_musicais,93
Sul,la_cuisine,6
Sul,livros_importados,5
Sul,livros_interesse_geral,92
Sul,livros_tecnicos,36
Sul,malas_acessorios,152
Sul,market_place,52
Sul,moveis_colchao_e_estofado,2
Sul,moveis_cozinha_area_de_servico_jantar_e_jardim,36
Sul,moveis_decoracao,1459
Sul,moveis_escritorio,218
Sul,moveis_quarto,11
Sul,moveis_sala,52
Sul,musica,8
Sul,papelaria,385
Sul,pc_gamer,1
Sul,pcs,17
Sul,perfumaria,438
Sul,pet_shop,277
Sul,portateis_casa_forno_e_cafe,17
Sul,portateis_cozinha_e_preparadores_de_alimentos,1
Sul,relogios_presentes,745
Sul,sinalizacao_e_seguranca,32
Sul,tablets_impressao_imagem,4
Sul,telefonia,717
Sul,telefonia_fixa,32
Sul,utilidades_domesticas,1069
